财经指数,url,数据公布机构,发布频率,数据影响,数据释义,统计方法,关注原因,金银影响
中国财新综合PMI,http://www.kxt.com/data/mpmicnca+index.html, 财新银行与英国研究公司Markit Grou, 每月,"公布值>预测值=利好人民币
",财新中国服务业采购经理人指数(HSBC China Manufacturing Purchasing Managers Index）是由财新与英国研究公司Markit Group Ltd.共同编制，是对中国总体服务业状况、就业及物价调查的一项衡量服务业状况的指标。, 统计每月财新综合PMI数据,财新中国服务业采购经理人指数通常于每月第一个工作日发布，如果PMI高于50表示服务业活动处于总体扩张趋势，低于50则反映服务业出现萎缩。因澳大利亚与中国经济密切相关，中国经济的好坏对澳元影响巨大。,利多
中国财新服务业PMI,http://www.kxt.com/data/mpmicnsa+index.html, 汇丰银行与英国研究公司Markit Group Ltd., 每月,"公布值>预测值=利好人民币
",汇丰中国服务业采购经理人指数(HSBC China Manufacturing Purchasing Managers Index）是由汇丰与英国研究公司Markit Group Ltd.共同编制，是对中国总体服务业状况、就业及物价调查的一项衡量服务业状况的指标。, 对中国总体服务业状况、就业及物价调查的一项衡量服务业状况的指标,汇丰中国服务业采购经理人指数通常于每月第一个工作日发布，如果PMI高于50表示服务业活动处于总体扩张趋势，低于50则反映服务业出现萎缩。因澳大利亚与中国经济密切相关，中国经济的好坏对澳元影响巨大。,利多
中国CPI月率,http://www.kxt.com/data/cncpim%3deci.html,中国统计局,每月,"公布值>预测值=利好人民币
",消费者价格指数(Consumer Price Index)，英文缩写为CPI，是对一个固定的消费品篮子价格的衡量，主要反映消费者支付商品和劳务的价格变化情况，也是一种度量通货膨胀水平的工具， 以百分比变化为表达形式。,统计经通胀调整后，经济活动中所产生的所有商品及服务的价值变动,消费者物价是整体通胀的最主要部分。通胀对货币估值很重要，因上升的物价将令央行为控制通胀目标而上调利率。,利多
中国贸易帐(按人民币计),http://www.kxt.com/data/cntstcn+index.html,中国海关总署,每月一次,"如果是盈余，公布值>预测值=利好人民币；如果是赤字，公布值>预测值=利空人民币
",贸易为一国收支表上的主要项目，内容记载一个国家与外国包括因为商品、劳务进出口、投资所得、其它商品与劳务所得以及其他因素所产生的资金流出与流入的状况。如果其余额是正数（顺差），表示本国的净国外财富或净国外投资增加。如果是负数（逆差），表示本国的净国外财富或投资减少。,统计之前一个月出口与进口金额之差,澳大利亚作为中国最大的贸易伙伴国，中国贸易盈余扩大，表明澳洲出口增加，进而推动澳洲经济加速增长。因此，中国贸易盈余扩大，对澳元有利。,利多
中国财新制造业PMI终值,http://www.kxt.com/data/mpmicnma+index.html, Markit公司, 每月一次,"公布值>预期值=利好人民币
",汇丰中国制造业采购经理人指数(PMI）是由汇丰与英国研究公司Markit Group Ltd.共同编制，是对中国总体制造业状况、就业及物价调查的一项衡量制造业状况的指标。该指数此前是由里昂证券亚太区市场发布，也被称做里昂证券中国采购经理人指数(CLSA China PMI)。, 基于对制造业采购经理人调查,是经济健康状况的领先性指标，高于50表明制造业扩张，对澳元有利。反之，低于50，表明中国制造业萎缩，对澳元不利。,利多
中国外商直接投资月率,http://www.kxt.com/data/cnfdi%3deci.html,中国商务部,每月一次,"公布值>预期值=利好人民币
",外商直接投资(FDI Foreign Direct Investment)，也叫国际直接投资(International Direct Investment)，它以控制经营管理权为核心，以获取利润为目的，是与国际间接投资相对应的一种国际投资基本形式,外企在中国资本投资总支出的变动,通过观察外商投资资金的变化，可以部分显示当前中国经济的形势。如果外商直接投资增加，显示中国经济蓬勃发展，对人民币和澳元有利；如果外商直接投资下降，不利人民币和澳元。,利多
中国MNI消费者信心指数,http://www.kxt.com/data/mnccindx+index.html,MNI,每月,"公布值>预测值=利好人民币
",是反映消费者信心强弱的指标，是综合反映并量化消费者对当前经济形势评价和对经济前景、收入水平、收入预期以及消费心理状态的主观感受，是预测经济走势和消费趋向的一个先行指标,消费者信心指数主要是为了解消费者对经济环境的信心强弱程度，反映消费者对经济的看法以及购买意向。,"消费者信心（Consumer Confidence），也有人称为消费者情绪（Consumer Sentiment），是
消费者信心指数图
消费者信心指数图(17张)
 指消费者根据国家或地区的经济发展形势，对就业、收入、物价、利率等问题的综合判断后得出的一种看法和预期。",利多
中国PPI年率,http://www.kxt.com/data/cheftyoy+index.html,中国国家统计局,每月,"公布值>预测值=利空人民币
",生产者物价指数（Producer Price Index，简称PPI）：生产者物价指数主要的目的在衡量各种商品在不同的生产阶段的价格变化情形。,生产商购买及销售商品的物价变动，公布月率和年率数据,该指标是消费通胀的领先性指标——当生产者需更高成本购买原料时，通常价格的上升部分将会传导至消费者，预示未来通胀会上升。如果生产者出厂价格指数上升，可能会令央行政策偏紧缩，不利中国经济，鉴于中国是澳大利亚最大的贸易伙伴国，中国经济放缓，不利澳洲出口。因此，中国工业生产者出厂价格指数上升，不利澳元，但影响较低。,利多
中国工业产出年率,http://www.kxt.com/data/chvaioy+index.html,,,"公布值>预测值=利好人民币
",工业增加值是指工业企业在报告期内以货币形式表现的工业生产活动的最终成果；是扣除工业企业全部生产活动总成果在生产过程中消耗或转移的物质产品和劳务价值后的余额；是工业企业生产过程中新增加的价值。,统计工业企业生产过程中新增加的价值,工业增加值的升降，能反映中国经济的冷暖情况，进而影响到中国的贸易伙伴国澳大利亚的出口和经济，外汇投资者据此对澳元兑美元汇率作出判断。,利多
中国城镇固定资产投资年率,http://www.kxt.com/data/cnfayoy+index.html,中国国家统计局,每月,"公布值>预期值=利好人民币
",固定资产投资是建造和购置固定资产的经济活动，即固定资产再生产活动。固定资产再生产过程包括固定资产更新（局部和全部更新）、改建、扩建、新建等活动。新的企业财务会计制度规定：固定资产局部更新的大修理作为日常生产活动的一部分，发生的大修理费用直接在成本中列支。,非农村地区花费在诸如工厂、道路、输电系统和资产方面的总开支变动,是经济健康状况中的一项领先性指标——私营和公共投资水平的变动可视为未来经济活动诸如雇员、开支和收入的早期迹象。,利多
中国贸易账(按美元计),http://www.kxt.com/data/cnfrbal%24+index.html,中国国家统计局,每月,"如果是盈余，公布值>预测值=利好人民币；如果是赤字，公布值>预测值=利空人民币
",贸易为一国收支表上的主要项目，内容记载一个国家与外国包括因为商品、劳务进出口、投资所得、其它商品与劳务所得以及其他因素所产生的资金流出与流入的状况。如果其余额是正数（顺差），表示本国的净国外财富或净国外投资增加。如果是负数（逆差），表示本国的净国外财富或投资减少。,国际贸易余额衡量离开（出口）和进入某国（进口）的商品贸易流之间的差额。该指标追踪商品贸易余额的价值。,澳大利亚作为中国最大的贸易伙伴国，中国贸易盈余扩大，表明澳洲出口增加，进而推动澳洲经济加速增长。因此，中国贸易盈余扩大，对澳元有利。,利多
中国出口年率(按美元计),http://www.kxt.com/data/cnfrexpy+index.html,中华人民共和国海关总署,每月,"公布值>预期值=利好人民币
",每年出口的商品与每年生产的商品数量的 比值。,公布出口数据，统计变化年率。,商品贸易逆差现象，国民收入便会流出国外，使国家经济表现转弱。,利多
中国进口年率(按美元计),http://www.kxt.com/data/cnfrimpy+index.html,中华人民共和国海关总署,每月,"公布值>预期值=利好人民币
",每年进口的商品与每年生产的商品数量的 比值。,公布进口数据，统计变化年率,商品贸易逆差现象，国民收入便会流出国外，使国家经济表现转弱。,利多
中国规模以上工业企业利润年率,http://www.kxt.com/data/cnpretly+index.html,中国国家统计局,每月,"数据>预期=利好人民币
",目前在我国，规模以上工业企业是指年主营业务收入在2000万元以上的工业企业。统计局统计此类企业的利润变化情况。,统计规模以上企业的盈利变化,企业盈利增加，表明中国经济增强动力增强，作为澳大利亚最大的贸易伙伴国，中国经济加速有利于澳洲出口，对澳洲经济有推动最用，因而利好澳元。,利多
中国社会消费品零售总额年率,http://www.kxt.com/data/cnrscyoy+index.html,中国国家统计局,每月,"数据>预期=利好人民币
",社会消费品零售总额(social retail-goods)，指各种经济类型的批发零售贸易业、餐饮业、制造业和其他行业对城乡居民和社会集团的消费品零售额和农民对非农业居民零售额的总和。,零售销售总额变动,社会消费品零售总额反映一定时期内人民物质文化生活水平的提高情况，反映社会商品购买力的实现程度，以及零售市场的规模状况。由社会商品供给和有支付能力的商品需求的规模所决定，是研究人民生活水平、社会零售商品购买力、社会生产、货币流通和物价发展变化趋势的重要资料。,利多
中国出口年率(按人民币计),http://www.kxt.com/data/cntsecny+index.html,中国人民共和国海关总署,每月,"公布值>预期值=利好人民币
",每年出口的商品与每年生产的商品数量的 比值。,公布出口数据，统计变化年率。,商品贸易逆差现象，国民收入便会流出国外，使国家经济表现转弱。,利多
英国服务业PMI,http://www.kxt.com/data/mpmigbsa+index.html, Markit公司, 每月,"公布值>预测值=利好英镑
","服务业采购经理人指数(Service Purchasing Manager Index, PMI)，主要反映服务行业经理人对于目前经营环境的看法。50是该指数的分水岭，低于50，表明服务业萎缩，高于50表明服务业扩张。", 对服务行业经理人的调查,是衡量经济健康状况的领先指标，而服务业占整体经济的比重超过七成，因此服务行业的健康状况，对英国经济有着巨大影响，服务行业数据的涨跌，因而会影响到英镑走势。,利空
英国建筑业PMI,http://www.kxt.com/data/mpmigbxa+index.html, 市场研究机构Markit, 每月,"公布值>预期值=利好英镑
",英国皇家采购与供应学会(CIPS)与市场研究机构Markit联合制作发布的一项针对英国建筑业的调查，反映该行业的运行状况。, 基于对建筑业采购经理人调查的一个衡量建筑业状况的指标,是经济健康状况的领先性指标——企业能对市场形势作出迅速反应，而其采购经理人可能代表着该企业对经济主要的观点。,利空
英国CBI零售销售差值,http://www.kxt.com/data/dtsrr1rb+index.html,英国工业联合会(CBI),每月,"公布值>预测值=利好英镑
",英国工业用联合会(CBI)通过调查约160家零售和批发企业，并根据调查结果制作成指数。调查内容包括受访者对当前销售状况的评估。,基于对零售商和批发商调查所制作成的指数,是衡量消费者支出的领先性指标，因为零售商和批发商的销售对消费者的购买水平直接产生影响。零售销售差值高于零，表明消费支出增加，有利经济增长，对英镑是利好消息。,利空
英国CBI工业订单差值,http://www.kxt.com/data/mtef1c+index.html, 英国工业联合会, 每月,"公布值>预测值=利好英镑
",英国工业联合会对约550家制造商展开调查，并将结果编织成指数，调查内容包括对未来3个月订单的预估。, 此概念追踪行业分类内的商业信心。其结果基于一项在行业内具有代表性的样本企业中进行的调查。,高于零，表明整个制造业订单净增长，预示未来制造业产出将增加，经济增长动力将增强，利好英镑。,利多
英国CBI工业物价预期差值,http://www.kxt.com/data/mtef4c+index.html, 英国工业联合会, 每月,"公布值>预测值=利好英镑
",英国工业联合会 英国工业联合会对约550家制造商展开调查，并将结果编织成指数，调查内容包括对未来3个月订单的预估。,统计每月中下旬公布当月数据,高于零，表明整个制造业订单净增长，预示未来制造业产出将增加，经济增长动力将增强，利好英镑。,利多
英国CBI服务业乐观信心指数,http://www.kxt.com/data/itsr1b+index.html,英国工业联合会,每季度公布一次,"公布值>预期值=利好英镑
",服务业对未来前景保持乐观信心的指数,英国工业联合会调查服务业对未来前景保持乐观信心的指数,一定程度上反映了英国服务业的发展态势，预示未来经济形势的好坏,利多
英国央行基准利率,http://www.kxt.com/data/ukbrbase+index.html,英国央行(BOE),每月,"数据>预期=利好英镑，量化宽松政策利空英镑
",英国央行(BOE) 指英国央行为事先物价稳定目标，通过定期举行会议，决定基准利率。英国的基准利率为再回购利率。,英国央行货币政策会议商议决定,利率的升降，反映了经济的好坏。经济蓬勃发展时期，加息意味着经济快速增长，投资回报率高，对英镑有利,利多
英国GDP季率初值,http://www.kxt.com/data/ukgrabiq+indexa.html,英国统计局,每季度一次,"公布值>预测值=利好英镑
","GDP即英文gross domestic product的缩写，也就是国内生产总值,（港台地区有翻译为国内生产毛额、本地生产总值）。通常对GDP的定义为：一定时期内（一个季度或一年），一个国家或地区的经济中所生产出的全部最终产品和提供劳务的市场价值的总值。",统计上一季度经济总量的变化，公布季率和年率数据,GDP是衡量一国经济运行状况的最重要指标之一，央行将据此调整货币政策。,利多
英国GDP季率修正值,http://www.kxt.com/data/ukgrabiq+indexp.html, 英国国家统计局, 每季度公布一次,"公布值>预测值=利好英镑
","GDP即英文gross domestic product的缩写，也就是国内生产总值,（港台地区有翻译为国内生产毛额、本地生产总值）。通常对GDP的定义为：一定时期内（一个季度或一年），一个国家或地区的经济中所生产出的全部最终产品和提供劳务的市场价值的总值。",统计上一季度经济总量的变化，公布季率和年率数据,GDP是衡量一国经济运行状况的最重要指标之一，央行将据此调整货币政策。因此，数据好坏，将影响市场上对英国央行货币政策走向的预期，进而影响短线英镑汇率走势。,利多
英国GDP年率初值,http://www.kxt.com/data/ukgrabiy+indexa.html, 英国统计局, 每季度公布一次,"公布值>预测值=利好英镑
","GDP即英文gross domestic product的缩写，也就是国内生产总值,（港台地区有翻译为国内生产毛额、本地生产总值）。通常对GDP的定义为：一定时期内（一个季度或一年），一个国家或地区的经济中所生产出的全部最终产品和提供劳务的市场价值的总值。", 公布季率和年率数据,一国的GDP大幅增长，反映出该国经济发展蓬勃，国民收入增加，消费能力也随之增强。在这种情况下，该国央行将有可能提高利率，紧缩货币供应，国家经济表现良好及利率的上升会增加该国货币的吸引力。,利多
英国GDP年率终值,http://www.kxt.com/data/ukgrabiy+indexf.html, 英国国家统计局, 每季度一次,"公布值>预期值=利好英镑
",国内生产总值（Gross Domestic Product，简称GDP），是指在一定时期内(一个季度或一年)，一个国家或地区的经济中所生产出的全部最终产品和劳务的价值，常被公认为衡量国家经济状况的最佳指标。它不但可反映一个国家的经济表现，更可以反映一国的国力与财富。, 经通胀调整后，经济活动中所产生的所有商品及服务的价值变动,该指标对经济活动进行了最为广泛的衡量，且是经济健康状况首要的衡量器,利多
英国GDP年率修正值,http://www.kxt.com/data/ukgrabiy+indexp.html, 英国国家统计局, 每季度一次,"预留
","GDP即英文gross domestic product的缩写，也就是国内生产总值,（港台地区有翻译为国内生产毛额、本地生产总值）。通常对GDP的定义为：一定时期内（一个季度或一年），一个国家或地区的经济中所生产出的全部最终产品和提供劳务的市场价值的总值。",统计上一季度经济总量的变化，公布季率和年率数据,GDP是衡量一国经济运行状况的最重要指标之一，央行将据此调整货币政策。因此，数据好坏，将影响市场上对英国央行货币政策走向的预期，进而影响短线英镑汇率走势。,利多
英国工业产出月率,http://www.kxt.com/data/ukipimom+index.html, 英国国家统计局, 每月,"公布值>预测值=利好英镑
",指经工业过程所生产出的各种产品，包括两部分的内容：一部分是满足人们的生活需要，如食品、服装、电视机、电冰箱等，另一部分是用来满足生产的需要，如钢铁、机械、化肥、农药等。, 制造商、矿商和公共事业单位所生产的产品总价值变动，公布月率和年率数据,工业产出通常被认为是衡量制造业活跃程度的主要指标。数据较好会提振英镑的走势。工业产出指数稳步攀升表明，经济处于上升期。,利多
英国工业产出年率,http://www.kxt.com/data/ukipiyoy+index.html,  英国国家统计局, 每月,"公布值>预测值=利好英镑
",指经工业过程所生产出的各种产品，包括两部分的内容：一部分是满足人们的生活需要，如食品、服装、电视机、电冰箱等，另一部分是用来满足生产的需要，如钢铁、机械、化肥、农药等。, 制造商、矿商和公共事业单位所生产的产品总价值变动，公布月率和年率数据,工业产出通常被认为是衡量制造业活跃程度的主要指标。数据较好会提振英镑的走势。工业产出指数稳步攀升表明，经济处于上升期。,利多
英国CPI月率,http://www.kxt.com/data/ukrpcjmr+index.html,  英国国家统计局, 每月,"公布值>预测值=利好英镑
",消费者价格指数(Consumer Price Index)，英文缩写为CPI，是对一个固定的消费品篮子价格的衡量，主要反映消费者支付商品和劳务的价格变化情况，也是一种度量通货膨胀水平的工具， 以百分比变化为表达形式。, 经通胀调整后，经济活动中所产生的所有商品及服务的价值变动,消费者物价是整体通胀的最主要部分。通胀对货币估值很重要，因上升的物价将令央行为控制通胀目标而上调利率，进而利好英镑。,利多
英国CPI年率,http://www.kxt.com/data/ukrpcjyr+index.html, 英国国家统计局, 每月,"公布值>预期值=利好英镑
",消费者价格指数(Consumer Price Index)，英文缩写为CPI，是对一个固定的消费品篮子价格的衡量，主要反映消费者支付商品和劳务的价格变化情况，也是一种度量通货膨胀水平的工具， 以百分比变化为表达形式。, 经通胀调整后，经济活动中所产生的所有商品及服务的价值变动,消费者物价是整体通胀的最主要部分。通胀对货币估值很重要，因上升的物价将令央行为控制通胀目标而上调利率，进而利好英镑。,利多
英国季调后零售销售月率,http://www.kxt.com/data/ukrvinfm+index.html,英国国家统计局,每月,"公布值>预测值=利好英镑
",零售销售(Retail Sale)，是零售销售数额的统计汇总，是除服务业外包括所有主要从事零售业务的商店以现金或信用形式销售的商品价值总额。,零售销售额（也作零售贸易）追踪个人或家庭消费中新旧商品面向大众的销售情况。此概念基于已出售商品的数量。,是消费者支出的领先性指标，而消费支出又是整体经济活动的最主要内容。,利多
英国季调后零售销售年率,http://www.kxt.com/data/ukrvinfy+index.html,英国国家统计局, 每月,"公布值>预测值=利好英镑
",英国国家统计局 零售销售(Retail Sale)，是零售销售数额的统计汇总，是除服务业外包括所有主要从事零售业务的商店以现金或信用形式销售的商品价值总额。, 零售销售额（也作零售贸易）追踪个人或家庭消费中新旧商品面向大众的销售情况。此概念基于已出售商品的数量。,是消费者支出的领先性指标，而消费支出又是整体经济活动的最主要内容。,利多
英国央行资产购买规模,http://www.kxt.com/data/ukaptarg+index.html,英国央行,每月,"公布值>预期值=利好英镑
",指英国央行为实现物价稳定目标，通过定期举行会议，决定基准利率。英国的基准利率为再回购利率。,每次货币政策会议由英国央行决定,利率的升降，反映了经济的好坏。经济蓬勃发展时期，加息意味着经济快速增长，投资回报率高，对英镑有利,利空
英国三个月包括红利的平均工资年率,http://www.kxt.com/data/ukawmwho+index.html,英国国家统计局,每月,"公布值>预期值=利好英镑
",以三个月为周期的，平均工资的年度变化,统计以三个月为周期的，平均工资的年度变化,以三个月为周期的，平均工资的年度变化，剔除红利,利空
英国三个月剔除红利的平均工资年率,http://www.kxt.com/data/ukawxtom+index.html,英国国家统计局,每月,"公布值>预期值=利好英镑
",以三个月为周期的，平均工资的年度变化，剔除红利,统计以三个月为周期的，平均工资的年度变化，剔除红利,以三个月为周期的，平均工资的年度变化，剔除红利,利空
英国商业投资总值季率终值,http://www.kxt.com/data/ukbinpeq+indexf.html,英国统计局,每季度一次,"公布值>预期值=利好英镑
",衡量企业和政府在一段时期内的资本投资总量的变化。,经通胀调整后，企业和政府进行的资本投资总价值变动,是经济健康状况的领先性指标——商业受市场形势的影响迅速，他们投资水平的变动可视为反映诸如雇工、支出和收入等情况的未来经济活动的早期迹象。,利空
英国商业投资总值季率初值,http://www.kxt.com/data/ukbinpeq+indexp.html,英国统计局,每季度一次,"公布值>预期值=利好英镑
",衡量企业和政府在一段时期内的资本投资总量的变化。,经通胀调整后，企业和政府进行的资本投资总价值变动,是经济健康状况的领先性指标——商业受市场形势的影响迅速，他们投资水平的变动可视为反映诸如雇工、支出和收入等情况的未来经济活动的早期迹象。,利空
英国商业总值年率终值,http://www.kxt.com/data/ukbinpey+indexf.html,英国统计局,每季度一次,"公布值>预期值=利好英镑
",即英国商业企业总产值的年度变化数据,统计商业企业总产值数据，公布年率变化,这一数据一定程度上可以反映英国经济的增长态势，预示GDP的增长,利空
英国经常帐,http://www.kxt.com/data/ukca+index.html,英国统计局,每季度一次,"公布值>预测值=利好英镑
",经常帐(Current Account)，为一国收支表上的主要项目，内容记载一个国家与外国包括因为商品 、劳务进出口、投资所得、其它商品与劳务所得以及片面转移等因素所产生的资金流出与 流入的状况。,统计商品 、劳务、投资、其它商品以及片面转移等的变化,如果其余额是正数﹙顺差﹚，表示本国的净国外财富或净国外投资增加。如果是负数﹙逆差﹚，表示本国的净国外财富或投资均少。一国经常帐逆差扩大，该国币值将走贬。,利空
英国Gfk消费者信心指数,http://www.kxt.com/data/ukcci+index.html,GfK NOP (英国),每月,"公布值>预期值=利好英镑
",总部位于德国纽伦堡的 GfK集团，有着80年的发展历史，日前拥有超过5000名全职员工，是全球五大市场研究公司之一。这份调查，是针对英国的消费者对经济和消费前景的一项调查，用以反映未来消费趋势和经济前景。,基于对消费者调查的衡量扩散水平的指标,消费信心是消费者支出的领先性指标，而消费者支出又是整体经济活动的最主要部分内容。消费信心上升，对英镑有利。,利空
英国建筑业产出月率,http://www.kxt.com/data/ukcnalsm+index.html,英国统计局,每月,"公布值>预期值=利好英镑
",即建筑业产出及活动的总值季度变化情况,对建筑业产出及活动的计量,这一数据是英国重要的指标性数据，反映英国建筑业的发展态势，预示英国整体的经济形势,利空
英国建筑业产出年率,http://www.kxt.com/data/ukcnalsy+index.html,英国统计局,每月,"公布值>预期值=利好英镑
",即建筑业产出及活动的总值年度变化情况,对建筑业产出及活动的计量,这一数据是英国重要的指标性数据，反映英国建筑业的发展态势，预示英国整体的经济形势,利空
英国三个月NIESR-GDP预估年率,http://www.kxt.com/data/ukegestg+index.html,英国国家经济社会研究院(NIESR),每月,"公布值>预期值=利好英镑
",英国国家经济社会研究院(NIESR)每个月公布对英国经济最新的GDP预期。,在过去三个月经济活动中所有商品和服务总额的初步预估变动,对GDP的预测，会影响到投资者对英国经济前景的判断，进而影响英镑。,利空
英国出口季率,http://www.kxt.com/data/ukgeikkq+indexp.html,英国统计局,每季度一次,"公布值>预期值=利好英镑
",即一个季度内英国的出口总额与上个季度的变化情况,统计出口数据，计算季度变化,出口数据与经济形势息息相关，直接影响英国央行对英国经济走势的判断,利空
英国进口季率,http://www.kxt.com/data/ukgeiklq+indexp.html,英国统计局,每季度一次,"公布值>预期值=利好英镑
",即一个季度内英国的进口数据与上一个季度的变化情况,统计进口数据，计算季度变化,进口数据反映一国的贸易形势，预示经济增长态势，直接影响该国的货币政策,利空
英国GDP季率终值,http://www.kxt.com/data/ukgrabiq+indexf.html,英国统计局,每季度一次,"公布值>预测值=利好英镑
","GDP即英文gross domestic product的缩写，也就是国内生产总值,（港台地区有翻译为国内生产毛额、本地生产总值）。通常对GDP的定义为：一定时期内（一个季度或一年），一个国家或地区的经济中所生产出的全部最终产品和提供劳务的市场价值的总值。",统计上一季度经济总量的变化，公布季率和年率数据,GDP是衡量一国经济运行状况的最重要指标之一，央行将据此调整货币政策。,利空
英国Halifax季调后房价指数月率,http://www.kxt.com/data/ukhbsamm+index.html, 苏格兰Halifax银行, 每月,"公布值>预测值=利好英镑
",几个反映英国房地产价格的指标，通过对房价变化的统计，来反映未来房产市场的走向。,通过该银行的融资数据得出的房价变动，公布月率和年率数据,是房屋市场健康状况的领先性指标，因为房价上升将能吸引投资者并刺激房市活动，进而影响到经济。,利空
英国核心CPI年率,http://www.kxt.com/data/ukhca9iq+index.html, 英国国家统计局, 每月,"公布值>预测值=利好英镑
",英国国家统计局 消费者价格指数(Consumer Price Index)，英文缩写为CPI，是对一个固定的消费品篮子价格的衡量，主要反映消费者支付商品和劳务的价格变化情况，也是一种度量通货膨胀水平的工具， 以百分比变化为表达形式。,经通胀调整后，经济活动中所产生的所有商品及服务的价值变动,消费者物价是整体通胀的最主要部分。通胀对货币估值很重要，因上升的物价将令央行为控制通胀目标而上调利率，进而利好英镑。,利多
英国央行/ GfK的通货膨胀未来12个月菜单,http://www.kxt.com/data/ukbfftin+index.html,,,,,,,利多
英国BBA房屋购买抵押贷款许可件数,http://www.kxt.com/data/ukmlmnhp+index.html,英国银行家协会,每月,"公布值>预测值=利好英镑
",本数据组收纳了主要的大银行集团（MBBG）。包括：巴克莱、汇丰银行、劳埃德银行集团、苏格兰皇家银行集团、桑坦德英国与Virgin Money。,此概念追踪现有抵押贷款（以住宅地产作抵押的贷款）的价值（也可能包括数量）。,房屋贷款数据直接反映英国民间的购买能力，将对英国央行评判经济形势、采取货币政策造成一定影响。,利空
英国制造业产出月率,http://www.kxt.com/data/ukmpimom+index.html, 英国国家统计局, 每月,"公布值>预期值=利好英镑
",指经工业过程所生产出的各种产品，包括两部分的内容：一部分是满足人们的生活需要，如食品、服装、电视机、电冰箱等，另一部分是用来满足生产的需要，如钢铁、机械、化肥、农药等。, 制造商、矿商和公共事业单位所生产的产品总价值变动，公布月率和年率数据,工业产出通常被认为是衡量制造业活跃程度的主要指标。数据较好会提振英镑的走势。工业产出指数稳步攀升表明，经济处于上升期。,利空
英国DCLG房价指数年率,http://www.kxt.com/data/ukdhuky+index.html, 英国社区与地方政府部(DCLG), 每月,"英国政府支出的季度变化数据
",英国社区与地方政府部(DCLG)统计并发布，某一时期内房屋价格的变化。但数据滞后，对判断英国房价走势意义低于其他非官方调查结果。, 统计房价的变化，公布月率和年率数据,从房屋价格的变化，可以看出英国经济的运行状况，但因数据滞后严重，对汇市影响较小。,利多
英国制造业产出年率,http://www.kxt.com/data/ukmpiyoy+index.html, 英国国家统计局, 每月,"公布值>预测值=利好英镑
",英国国家统计局 指经工业过程所生产出的各种产品，包括两部分的内容：一部分是满足人们的生活需要，如食品、服装、电视机、电冰箱等，另一部分是用来满足生产的需要，如钢铁、机械、化肥、农药等。, 制造商、矿商和公共事业单位所生产的产品总价值变动，公布月率和年率数据,工业产出通常被认为是衡量制造业活跃程度的主要指标。数据较好会提振英镑的走势。工业产出指数稳步攀升表明，经济处于上升期。,利空
英国政府支出季率初值,http://www.kxt.com/data/ukgenmyq+indexp.html,英国国家统计局,每季度一次,"公布值>预测值=利好英镑
",英国政府支出的季度变化,统计英国政府支出的季度变化数据,影响未来的GDP增长，进而影响货币政策,利多
英国央行消费信贷,http://www.kxt.com/data/ukmsb3ps+index.html, 英国央行(BOE), 每月,"公布值>预测值=利好英镑
",英国央行(BOE) 英国央行公布抵押贷款许可数据，来衡量房产市场的潜在增长动力，进而反映未来经济的运行趋势。申请抵押贷款的人数越多，获得批准的数量就越多，反映经济增长动力增强。,需分期付款的总体消费者信贷的变化,外汇市场关注的是随季节调整的超前净信贷余额，一般来讲，消费者信贷余额增加表明消费支出和对经济的乐观情绪增加，这种情形通常产生于经济扩张时期，信贷余额下降表明消费支出减少，并可能伴随着对未来经济活动的悲观情绪。,利空
英国固定资本形成总值季率初值,http://www.kxt.com/data/ukgenptq+indexp.html,英国国家统计局,每季度一次,"公布值>预测值=利好英镑
",固定资本形成总额，是指常住单位购置、转入和自产自用的固定资产，扣除固定资产的销售和转出后的价值，分有形固定资产形成总额和无形固定资产形成总额。,统计常住单位购置、转入和自产自用的固定资产,固定资本形成是指支出法GDP核算中的固定资本形成总额，影响GDP数据,利多
英国M4货币供应月率,http://www.kxt.com/data/ukmsm41m+index.html, 英国央行, 每月,"公布值>预期值=利好英镑
","英国M4货币供应 (British M4 money supply)英国央行公布的M4英镑借贷仅针对M4私营部门。M4货币广泛称之为""广义货币""或简单称之为""货币供应""。", 国内流通的货币量及存在银行中的货币总量变动,该指标与利率有正相关关系——若处在经济周期的早期阶段，货币供应的增加会引发额外的支出和投资；若处在经济周期的晚期阶段，货币供应的扩张将引发通胀。,利空
英国服务业指数月率,http://www.kxt.com/data/ukisctmm+index.html,Markit公司,月报，每月第四个工作日公布上月数据。,"公布值>预测值=利好英镑
","Markit公司 服务业采购经理人指数(Service Purchasing Manager Index, PMI)，主要反映服务行业经理人对于目前经营环境的看法。50是该指数的分水岭，低于50，表明服务业萎缩，高于50表明服务业扩张。",对服务行业经理人的调查,是衡量经济健康状况的领先指标，而服务业占整体经济的比重超过七成，因此服务行业的健康状况，对英国经济有着巨大影响，服务行业数据的涨跌，因而会影响到英镑走势。,利多
英国M4货币供应年率,http://www.kxt.com/data/ukmsm41y+index.html, 英国央行, 每月,"公布值>预测值=利好英镑
","英国央行 英国M4货币供应 (British M4 money supply)英国央行公布的M4英镑借贷仅针对M4私营部门。M4货币广泛称之为""广义货币""或简单称之为""货币供应""。",国内流通的货币量及存在银行中的货币总量变动,该指标与利率有正相关关系——若处在经济周期的早期阶段，货币供应的增加会引发额外的支出和投资；若处在经济周期的晚期阶段，货币供应的扩张将引发通胀。,利空
